distance_group,angle_group,noise_type,noise_sigma_px,n_rows
Near,Low,baseline,0.0,5
Near,Low,marker-only,0.5,50
Near,Low,marker-only,1.0,50
Near,Low,marker-only,2.0,50
Near,Low,target-only,0.5,50
Near,Low,target-only,1.0,50
Near,Low,target-only,2.0,50
Near,Medium,baseline,0.0,5
Near,Medium,marker-only,0.5,50
Near,Medium,marker-only,1.0,50
Near,Medium,marker-only,2.0,50
Near,Medium,target-only,0.5,50
Near,Medium,target-only,1.0,50
Near,Medium,target-only,2.0,50
Near,High,baseline,0.0,5
Near,High,marker-only,0.5,50
Near,High,marker-only,1.0,50
Near,High,marker-only,2.0,50
Near,High,target-only,0.5,50
Near,High,target-only,1.0,50
Near,High,target-only,2.0,50
Mid,Low,baseline,0.0,6
Mid,Low,marker-only,0.5,50
Mid,Low,marker-only,1.0,50
Mid,Low,marker-only,2.0,50
Mid,Low,target-only,0.5,50
Mid,Low,target-only,1.0,50
Mid,Low,target-only,2.0,50
Mid,Medium,baseline,0.0,6
Mid,Medium,marker-only,0.5,50
Mid,Medium,marker-only,1.0,50
Mid,Medium,marker-only,2.0,50
Mid,Medium,target-only,0.5,50
Mid,Medium,target-only,1.0,50
Mid,Medium,target-only,2.0,50
Mid,High,baseline,0.0,6
Mid,High,marker-only,0.5,50
Mid,High,marker-only,1.0,50
Mid,High,marker-only,2.0,50
Mid,High,target-only,0.5,50
Mid,High,target-only,1.0,50
Mid,High,target-only,2.0,50
Far,Low,baseline,0.0,7
Far,Low,marker-only,0.5,50
Far,Low,marker-only,1.0,50
Far,Low,marker-only,2.0,50
Far,Low,target-only,0.5,50
Far,Low,target-only,1.0,50
Far,Low,target-only,2.0,50
Far,Medium,baseline,0.0,6
Far,Medium,marker-only,0.5,50
Far,Medium,marker-only,1.0,50
Far,Medium,marker-only,2.0,50
Far,Medium,target-only,0.5,50
Far,Medium,target-only,1.0,50
Far,Medium,target-only,2.0,50
Far,High,baseline,0.0,8
Far,High,marker-only,0.5,50
Far,High,marker-only,1.0,50
Far,High,marker-only,2.0,50
Far,High,target-only,0.5,50
Far,High,target-only,1.0,50
Far,High,target-only,2.0,50
