distance_group,angle_group,noise_type,noise_sigma_px,tre_mean,tre_median,re_mean,re_median,tre_mean_median_ratio,re_mean_median_ratio
Mid,Low,marker-only,2.0,64.61086661053308,41.5883007837263,18.83153916798513,13.37340104041916,1.553582747862967,1.4081338853945635
Mid,High,marker-only,2.0,4.113429365312938,2.966349114910291,36.6911302316119,14.205257759970447,1.3866976562660385,2.582926044116234
Far,High,marker-only,2.0,10.101820869818196,7.342403097868577,91.94431903738561,111.29949293712002,1.3758194333883207,0.82609827422422
Near,Medium,marker-only,2.0,1.8225689408173997,1.3385929461044128,4.5556077504333725,3.2215034479998446,1.3615557635511668,1.4141247476428567
Mid,Low,marker-only,1.0,19.051205268872362,14.114620634628963,7.35259877035659,6.414584691796923,1.3497497213727394,1.1462314590310443
Far,Medium,target-only,1.0,1.6098812136704503,1.2257170803126796,2.0829602035215258,1.7862342475644337,1.3134199070308874,1.1661181652751782
Mid,Low,marker-only,0.5,11.01464293358857,8.39768911560288,3.6739463802495744,3.259897419155779,1.3116278516578326,1.1270128804240171
Mid,Low,target-only,0.5,5.505767783037014,4.259450066201305,1.5647538386928588,1.3170206649130813,1.2926006168555018,1.1881012047720048
Far,Low,marker-only,2.0,29.309784339657927,22.77700252937671,24.04488987849835,15.841253966017707,1.2868148169126092,1.517865311046644
Near,Low,target-only,2.0,3.1083000928614224,2.464301419493061,2.424510919882767,2.3297279913062585,1.2613311294934206,1.040684118030176
Near,Low,target-only,1.0,1.6603149917987827,1.3263955077832184,1.2610047246479006,1.0554321781808071,1.2517495589031646,1.194775704888426
Near,Low,marker-only,0.5,0.8306753749349843,0.6661569435362531,1.3261035203551466,1.2333883617274966,1.2469664738843602,1.0751710989860421
Mid,Medium,marker-only,0.5,1.0326698575841835,0.8390822844104406,2.267433093074643,2.000917833116704,1.2307134553672077,1.1331965038978162
Far,Medium,target-only,2.0,2.8526014785569846,2.3218949389460377,3.5709808924121145,3.062059598687429,1.2285661296336892,1.1662022822621865
Far,Medium,marker-only,1.0,5.922629278653443,4.884448052740581,9.559347265142579,8.540820360841252,1.2125483196264841,1.119253989812403
Far,Low,target-only,2.0,5.071309819808432,4.191393498033241,2.2157145928308744,2.2802723785744408,1.2099340761462938,0.9716885638969472
Mid,Medium,target-only,2.0,2.4638017018900653,2.050013510824334,4.357215088501797,3.567445415707613,1.2018465677815668,1.2213824125568382
Mid,Low,target-only,1.0,8.011495533176012,6.676025306531719,2.2201206073697124,2.0162003541051785,1.200039719043259,1.1011408676966714
Mid,Low,target-only,2.0,17.1608033871936,14.4830532610757,4.625425518397595,3.7449261450504485,1.1848885092009263,1.2351179540645614
Mid,Medium,marker-only,2.0,3.8911681725445595,3.3024255333016335,8.642647826694349,7.763960167620966,1.1782758258455943,1.1131751889632158
Near,Medium,target-only,0.5,0.5312719078292674,0.4545286079338777,0.8061243976853709,0.674624340849463,1.1688415174662754,1.194923380129344
Near,Medium,marker-only,0.5,0.4565887854499604,0.39126841067651197,0.8173395361187468,0.7174059562480225,1.166945178785346,1.139298508745828
Mid,Medium,target-only,0.5,0.6595002508595261,0.5791913192735263,1.2127984816800819,1.002550062843684,1.1386570014321529,1.2097136358857117
Far,Low,marker-only,1.0,12.574817982041722,11.128357677751266,8.057222127101367,7.782481902270632,1.1299796741061208,1.03530239174094
Near,Medium,target-only,1.0,1.0257647304100193,0.9113519551816038,1.3832831887899397,1.3236861288689887,1.1255418113473148,1.0450235585469745
Far,High,marker-only,1.0,4.299141144747832,3.822310381010727,18.497589139302676,8.538336586721545,1.1247493573797682,2.166416016917081
Far,Low,target-only,1.0,3.0201571594018706,2.7056123069626263,1.3153972371986984,1.2501419063191408,1.1162564391172358,1.052198338884337
Near,Low,marker-only,2.0,2.7884785941199626,2.5005538017607316,4.914313598394591,4.909313987840925,1.1151444100728778,1.0010183929090803
Near,Low,target-only,0.5,0.7508288737160222,0.6772466621716785,0.6219460449858298,0.5848903371519105,1.1086490575064525,1.063354966700869
Near,High,marker-only,1.0,0.5257850875093147,0.4749528890367089,1.3833085088367807,1.3065973567447084,1.1070257695993866,1.0587106285621093
Near,High,marker-only,2.0,1.1138901125433305,1.0067465297509486,3.8042335298476257,3.159117369850448,1.1064255794543314,1.2042077214838387
