source_table,analysis_row_kind,ray_gap_regime,usable_for_ray_gap_distribution,timestamp,experiment_record_id,experiment_family,dataset,projection_mode,point_id,distance_group,distance_order,base_condition_id,angle_group,angle_order,shot2_angle_deg,shot3_angle_m3_m1_deg,shot3_angle_m3_m2_deg,testpoint_x,testpoint_y,testpoint_z,testpoint_marker_distance_mean_mm,noise_type,noise_sigma_px,repeat_index,success_flag,is_clean_baseline,tre_mm_raw,re_px_raw,ray_gap_mm_raw,marker_sort_rms,calibration_reproj_rms,markers_sorted,perspective_calibration_ready
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:50:52+08:00,20260321_085052_694274,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-13.69535542,90.66418457,-182.1198578,48.61208144,baseline,0.0,1,1,1,0.16,0.08,0.0,0.0547960796666666,0.052030442,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:52:34+08:00,20260321_085234_430076,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-13.69535542,90.66418457,-182.1198578,48.61208144,baseline,0.0,2,1,1,0.05,0.11,0.0,0.0627142596666666,0.0619220863333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:53:29+08:00,20260321_085329_983434,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-13.69535542,90.66418457,-182.1198578,48.61208144,baseline,0.0,3,1,1,0.15,0.07,0.0,0.0556408829999999,0.0547831993333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:54:08+08:00,20260321_085408_580195,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-13.69535542,90.66418457,-182.1198578,48.61208144,baseline,0.0,4,1,1,0.08,0.1,0.0,0.0680208466666666,0.0673837473333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:54:47+08:00,20260321_085447_708168,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-13.69535542,90.66418457,-182.1198578,48.61208144,baseline,0.0,5,1,1,0.06,0.1,0.0,0.0628605836666666,0.0586485816666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:13:59+08:00,20260321_081359_091600,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-13.69535542,90.66418457,-182.1198578,50.92337923,baseline,0.0,1,1,1,0.05,0.08,0.0,0.068147897,0.0669599423333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:17:38+08:00,20260321_081738_608592,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-13.69535542,90.66418457,-182.1198578,50.92337923,baseline,0.0,2,1,1,0.05,0.06,0.0,0.0526605713333333,0.0492373326666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:21:07+08:00,20260321_082107_060525,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-13.69535542,90.66418457,-182.1198578,50.92337923,baseline,0.0,3,1,1,0.06,0.1,0.0,0.071067442,0.0676029423333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:22:28+08:00,20260321_082228_939381,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-13.69535542,90.66418457,-182.1198578,50.92337923,baseline,0.0,4,1,1,0.12,0.21,0.0,0.0619418523333333,0.06004575,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T08:23:04+08:00,20260321_082304_463118,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-13.69535542,90.66418457,-182.1198578,50.92337923,baseline,0.0,5,1,1,0.01,0.01,0.0,0.0695987343333333,0.067184353,1,1
