source_table,analysis_row_kind,ray_gap_regime,usable_for_ray_gap_distribution,distance_order,angle_order,timestamp,experiment_record_id,experiment_family,base_condition_id,csv_output_path,input_volume,dataset,projection_mode,projection_mode_status,angle_group,distance_group,point_id,markers_sorted,perspective_calibration_ready,orthographic_calibration_ready,shot1_available,shot2_available,shot3_available,shot2_angle_deg,shot3_angle_m3_m1_deg,shot3_angle_m3_m2_deg,noise_type,noise_sigma_px,tre_mm_raw,re_px_raw,ray_gap_mm_raw,tre_value_mm,reprojection_error_px,ray_gap_mm,tre_display,reprojection_display,ray_gap_display,is_clean_baseline,controlled_perturbation_enabled,controlled_perturbation_noise_type,controlled_perturbation_noise_sigma_px,controlled_perturbation_run_id,controlled_perturbation_run_stage,point1_selector,point2_selector,reprojection_point1_selector,reprojection_point2_selector,red_2d_selector,green_2d_selector,knife_selector,camera_view_angle_deg,view_orthographic_enabled,red_uses_blackcenter_auto_point,green_uses_blackcenter_auto_point,uses_blackcenter_auto_point_any,testpoint_x,testpoint_y,testpoint_z,testpoint_marker_distance_t1_mm,testpoint_marker_distance_t2_mm,testpoint_marker_distance_t3_mm,testpoint_marker_distance_mean_mm,repeat_index,success_flag,failure_reason,marker_sort_rms,calibration_reproj_rms,debug_visualization,debug_plane_scale,debug_ray_scale,marker_transform_snapshot_dir,marker_transform_1_name,marker_transform_1_path,marker_transform_1_saved,marker_transform_2_name,marker_transform_2_path,marker_transform_2_saved,marker_transform_3_name,marker_transform_3_path,marker_transform_3_saved,marker_transform_snapshot_count,marker_transform_snapshot_ready,marker_sort_view1_rms_px,marker_sort_view1_second_rms_px,marker_sort_view1_rms_gap_px,marker_sort_view1_flip_x,marker_sort_view1_flip_y,marker_sort_view2_rms_px,marker_sort_view2_second_rms_px,marker_sort_view2_rms_gap_px,marker_sort_view2_flip_x,marker_sort_view2_flip_y,marker_sort_view3_rms_px,marker_sort_view3_second_rms_px,marker_sort_view3_rms_gap_px,marker_sort_view3_flip_x,marker_sort_view3_flip_y,perspective_calibration_view1_reproj_rms_px,perspective_calibration_view1_flip_x,perspective_calibration_view1_flip_y,perspective_calibration_view1_swap_big_23,perspective_calibration_view1_swap_small_23,perspective_calibration_view1_view_angle_deg,perspective_calibration_view2_reproj_rms_px,perspective_calibration_view2_flip_x,perspective_calibration_view2_flip_y,perspective_calibration_view2_swap_big_23,perspective_calibration_view2_swap_small_23,perspective_calibration_view2_view_angle_deg,perspective_calibration_view3_reproj_rms_px,perspective_calibration_view3_flip_x,perspective_calibration_view3_flip_y,perspective_calibration_view3_swap_big_23,perspective_calibration_view3_swap_small_23,perspective_calibration_view3_view_angle_deg,orthographic_calibration_view1_reproj_rms_px,orthographic_calibration_view1_flip_x,orthographic_calibration_view1_flip_y,orthographic_calibration_view1_swap_big_23,orthographic_calibration_view1_swap_small_23,orthographic_calibration_view1_view_angle_deg,orthographic_calibration_view2_reproj_rms_px,orthographic_calibration_view2_flip_x,orthographic_calibration_view2_flip_y,orthographic_calibration_view2_swap_big_23,orthographic_calibration_view2_swap_small_23,orthographic_calibration_view2_view_angle_deg,orthographic_calibration_view3_reproj_rms_px,orthographic_calibration_view3_flip_x,orthographic_calibration_view3_flip_y,orthographic_calibration_view3_swap_big_23,orthographic_calibration_view3_swap_small_23,orthographic_calibration_view3_view_angle_deg,timing_shot1_all_ms,timing_shot2_all_ms,timing_shot3_all_ms,timing_black_center_ms,timing_markers_sort_ms,timing_init_markers_ms,timing_perspective_calibration_ms,timing_orthographic_calibration_ms,timing_red_push_ms,timing_green_push_ms,timing_tre_calc_ms,timing_reprojection_calc_ms
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,1,2026-03-21T08:50:52+08:00,20260321_085052_694274,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Low,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,16.17,0.4,15.89,baseline,0.0,0.16,0.08,0.0,0.16,0.08,0.0,0.16 mm,0.08 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,46.17896858,64.21130325,48.61208144,1,1,,0.0547960796666666,0.052030442,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085052_694274,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085052_694274\20260321_085052_694274_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085052_694274\20260321_085052_694274_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085052_694274\20260321_085052_694274_3_LinearTransform_2.h5,1,3,1,0.040185403,0.040185403,1.19e-15,0,0,0.045499868,0.045499868,1.92e-14,0,0,0.078702968,0.078702968,1.51e-14,0,0,0.039848255,0.0,1.0,0.0,0.0,30.0,0.044981984,0.0,0.0,0.0,0.0,30.0,0.071261087,1.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,456.371,414.282,429.577,10.013,581.731,57.992,29.625,,2.2,1.648,0.507,0.571
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,1,2026-03-21T08:52:34+08:00,20260321_085234_430076,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Low,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,16.17,0.4,15.89,baseline,0.0,0.05,0.11,0.0,0.05,0.11,0.0,0.05 mm,0.11 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,46.17896858,64.21130325,48.61208144,2,1,,0.0627142596666666,0.0619220863333333,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085234_430076,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085234_430076\20260321_085234_430076_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085234_430076\20260321_085234_430076_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085234_430076\20260321_085234_430076_3_LinearTransform_2.h5,1,3,1,0.032955711,0.032955711,2.27e-14,0,0,0.069591983,0.069591983,1.15e-14,1,1,0.085595085,0.085595085,3e-14,1,1,0.032600678,0.0,1.0,0.0,0.0,30.0,0.069457083,0.0,1.0,0.0,0.0,30.0,0.083708498,1.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,390.228,350.36,397.615,9.83,578.337,59.323,31.191,,1.905,1.896,0.727,0.749
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,1,2026-03-21T08:53:29+08:00,20260321_085329_983434,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Low,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,16.17,0.4,15.89,baseline,0.0,0.15,0.07,0.0,0.15,0.07,0.0,0.15 mm,0.07 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,46.17896858,64.21130325,48.61208144,3,1,,0.0556408829999999,0.0547831993333333,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085329_983434,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085329_983434\20260321_085329_983434_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085329_983434\20260321_085329_983434_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085329_983434\20260321_085329_983434_3_LinearTransform_2.h5,1,3,1,0.069366295,0.069366295,8.88e-15,0,0,0.057953956,0.057953956,4.97e-15,1,1,0.039602398,0.039602398,1.78e-13,1,1,0.067627641,0.0,0.0,0.0,0.0,30.0,0.057708082,1.0,0.0,0.0,0.0,30.0,0.039013875,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,459.636,487.918,443.615,9.941,582.46,58.138,30.635,,1.817,1.775,0.613,0.541
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,1,2026-03-21T08:54:08+08:00,20260321_085408_580195,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Low,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,16.17,0.4,15.89,baseline,0.0,0.08,0.1,0.0,0.08,0.1,0.0,0.08 mm,0.10 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,46.17896858,64.21130325,48.61208144,4,1,,0.0680208466666666,0.0673837473333333,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085408_580195,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085408_580195\20260321_085408_580195_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085408_580195\20260321_085408_580195_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085408_580195\20260321_085408_580195_3_LinearTransform_2.h5,1,3,1,0.090871664,0.090871664,1.95e-14,0,0,0.061854475,0.061854475,2.04e-13,0,0,0.051336401,0.051336401,2.41e-14,1,1,0.090609279,0.0,1.0,0.0,0.0,30.0,0.061234277,0.0,1.0,0.0,0.0,30.0,0.050307686,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,443.426,429.837,412.785,9.846,576.637,56.51,29.612,,1.811,1.6,0.525,0.486
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,1,2026-03-21T08:54:47+08:00,20260321_085447_708168,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Low,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,16.17,0.4,15.89,baseline,0.0,0.06,0.1,0.0,0.06,0.1,0.0,0.06 mm,0.10 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,46.17896858,64.21130325,48.61208144,5,1,,0.0628605836666666,0.0586485816666666,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085447_708168,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085447_708168\20260321_085447_708168_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085447_708168\20260321_085447_708168_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_085447_708168\20260321_085447_708168_3_LinearTransform_2.h5,1,3,1,0.07527206,0.07527206,7.67e-14,1,1,0.057572064,0.057572064,4.12e-14,1,1,0.055737627,0.055737627,4.65e-14,0,0,0.067177881,0.0,0.0,0.0,0.0,30.0,0.056159683,1.0,1.0,0.0,0.0,30.0,0.052608181,0.0,1.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,484.443,457.421,563.033,10.41,583.227,59.219,31.46,,1.741,1.795,0.529,0.452
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,2,2026-03-21T08:13:59+08:00,20260321_081359_091600,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Medium,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,46.99,43.1,67.87,baseline,0.0,0.05,0.08,0.0,0.05,0.08,0.0,0.05 mm,0.08 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,48.50962628,68.81453892,50.92337923,1,1,,0.068147897,0.0669599423333333,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081359_091600,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081359_091600\20260321_081359_091600_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081359_091600\20260321_081359_091600_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081359_091600\20260321_081359_091600_3_LinearTransform_2.h5,1,3,1,0.064088993,0.064088993,4.58e-14,0,0,0.071185689,0.071185689,8.42e-13,0,0,0.069169009,0.069169009,1.78e-13,1,1,0.063333543,1.0,0.0,0.0,0.0,30.0,0.069853879,1.0,1.0,0.0,0.0,30.0,0.067692405,1.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,426.925,519.246,386.11,10.557,593.222,55.343,28.22,,3.276,95.884,0.563,0.568
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,2,2026-03-21T08:17:38+08:00,20260321_081738_608592,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Medium,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,46.99,43.1,67.87,baseline,0.0,0.05,0.06,0.0,0.05,0.06,0.0,0.05 mm,0.06 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,48.50962628,68.81453892,50.92337923,2,1,,0.0526605713333333,0.0492373326666666,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081738_608592,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081738_608592\20260321_081738_608592_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081738_608592\20260321_081738_608592_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_081738_608592\20260321_081738_608592_3_LinearTransform_2.h5,1,3,1,0.054704194,0.054704194,9.94e-15,0,0,0.035454719,0.035454719,4.08e-14,0,0,0.067822801,0.067822801,1.91e-13,0,0,0.049197287,1.0,0.0,0.0,0.0,30.0,0.031271055,1.0,1.0,0.0,0.0,30.0,0.067243656,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,476.709,485.808,391.196,10.13,600.119,58.341,30.211,,1.78,2.306,0.465,0.586
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,2,2026-03-21T08:21:07+08:00,20260321_082107_060525,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Medium,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,46.99,43.1,67.87,baseline,0.0,0.06,0.1,0.0,0.06,0.1,0.0,0.06 mm,0.10 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,48.50962628,68.81453892,50.92337923,3,1,,0.071067442,0.0676029423333333,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082107_060525,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082107_060525\20260321_082107_060525_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082107_060525\20260321_082107_060525_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082107_060525\20260321_082107_060525_3_LinearTransform_2.h5,1,3,1,0.077609674,0.077609674,5.79e-13,0,0,0.062805747,0.062805747,6.46e-13,1,1,0.072786905,0.072786905,1.04e-14,0,0,0.067820114,1.0,0.0,0.0,0.0,30.0,0.062471523,1.0,0.0,0.0,0.0,30.0,0.07251719,1.0,1.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,429.921,425.368,387.809,11.516,593.431,55.983,28.851,,2.029,1.667,0.506,0.625
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,2,2026-03-21T08:22:28+08:00,20260321_082228_939381,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Medium,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,46.99,43.1,67.87,baseline,0.0,0.12,0.21,0.0,0.12,0.21,0.0,0.12 mm,0.21 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,48.50962628,68.81453892,50.92337923,4,1,,0.0619418523333333,0.06004575,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082228_939381,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082228_939381\20260321_082228_939381_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082228_939381\20260321_082228_939381_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082228_939381\20260321_082228_939381_3_LinearTransform_2.h5,1,3,1,0.072644377,0.072644377,7.58e-13,0,0,0.046399584,0.046399584,1.28e-13,1,1,0.066781596,0.066781596,2.17e-14,0,0,0.067444459,0.0,0.0,0.0,0.0,30.0,0.046285037,0.0,0.0,0.0,0.0,30.0,0.066407754,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,486.131,518.701,414.827,10.045,594.794,56.61,29.436,,1.713,1.647,0.535,0.526
experiment_results.csv,baseline_reference,snapped_zero_gap,0,1,2,2026-03-21T08:23:04+08:00,20260321_082304_463118,standard_reconstruction,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,D:\CodingHHW\Biplane\experiment\experiment_results.csv,CTChest,CTChest,perspective,Current mode: Perspective,Medium,Near,tp_-13.70_90.66_-182.12,1,1,0,1,1,1,46.99,43.1,67.87,baseline,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01 mm,0.01 px,0.00 mm,1,0,baseline,0.0,,baseline_reference,testPoint,TargetP3D,blackCenter3,TargetP2DYellow,PointRed,PointGreen,testPoint,30.0,0,1,0,1,-13.69535542,90.66418457,-182.1198578,35.44597248,48.50962628,68.81453892,50.92337923,5,1,,0.0695987343333333,0.067184353,0,6.0,10.0,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082304_463118,LinearTransform,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082304_463118\20260321_082304_463118_1_LinearTransform.h5,1,LinearTransform_1,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082304_463118\20260321_082304_463118_2_LinearTransform_1.h5,1,LinearTransform_2,D:\CodingHHW\Biplane\experiment\transform_snapshots\20260321_082304_463118\20260321_082304_463118_3_LinearTransform_2.h5,1,3,1,0.064348353,0.064348353,2.41e-13,1,1,0.062644024,0.062644024,7.29e-14,0,0,0.081803826,0.081803826,7.57e-14,0,0,0.062418984,1.0,0.0,0.0,0.0,30.0,0.062230802,0.0,0.0,0.0,0.0,30.0,0.076903273,1.0,1.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,381.914,434.82,390.361,9.719,587.599,56.042,28.438,,1.685,2.322,0.517,0.684
